inventory_version,path,caller_or_route,operation,description_input_contract,can_attest_source,unattested_source,guard_error_contract,test_path,file_sha256
1,apps/web/src/app/api/products/bulk-update/bulk-update-change-processing.ts,bulk-update route -> processor,insert public.products.description,new change details.description,no,unattested_pending_C2b,C3 prepared guard not installed; stable error mapping pending,apps/web/src/app/api/products/bulk-update/bulk-update-change-processing.test.ts,2c2ee0dc3e64187880ef5f707ba0c6eac4343e9bd192671628191fb0b3d0482f
1,apps/web/src/lib/import-jobs/run-claimed-import-job.ts,claimed Bumpa job -> commit helper,Bumpa persistence caller,normalized product description,no,unattested_pending_C2b,C3 prepared guard not installed; stable error mapping pending,apps/web/src/lib/import-jobs/run-claimed-import-job.test.ts,8652502134b8c7912dd28c870a708c1290b51702fac6a3de171ae4c4e2a0483c
1,apps/web/src/lib/import-commit/commit-bumpa-products.ts,Bumpa commit helper,insert/update public.products.description,NormalizedImportedProduct.description,no,unattested_pending_C2b,C3 prepared guard not installed; stable error mapping pending,apps/web/src/lib/import-commit/commit-bumpa-products.test.ts,c3f98397d19843877418fe91a1162d8372079b56acf81ebdd68fd657fed1a541
1,apps/web/src/app/dashboard/products/use-products-page-actions.ts,dashboard action -> Jumia import,Jumia persistence caller,Jumia imported description,no,unattested_pending_C2b,C3 prepared guard not installed; stable error mapping pending,apps/web/src/app/dashboard/products/use-products-page-actions.test.ts,38f752fb0e755715a1b5202148fa5f95a22a40b6380244d90db6406fff145a49
1,apps/web/src/app/api/marketplace/jumia/products/import/route.ts,dashboard action -> Jumia import,upsert public.products.description,sanitized Jumia description,no,unattested_pending_C2b,C3 prepared guard not installed; stable error mapping pending,apps/web/src/app/api/marketplace/jumia/products/import/route.test.ts,813253bdbd7ebfe974b5fc227a03a004fb542312e0a6e11beda1ced99878f4b2
1,apps/mobile-admin/hooks/product-save.ts,mobile create/update -> public RPC,RPC persistence caller,ProductDbSchema payload description,no,unattested_pending_C2b,C3 prepared guard not installed; stable error mapping pending,apps/mobile-admin/hooks/product-save.test.ts,b30f9431b0c7968880e3ce4d7b55db74a72afaa07e09ab2cab72c275994b4558
1,supabase/migrations/20260615181534_serialized_variant_inventory.sql,legacy private mobile product-save RPC,insert/update public.products.description,p_product_payload.description,no,unattested_pending_C2b,C3 prepared guard not installed; stable error mapping pending,apps/mobile-admin/hooks/product-save.test.ts,d0f34aeab2a0622c0cae17dbd260c671cc6c96db31f85d414fb19beabb11fce8
1,supabase/migrations/20260702063638_restore_mobile_admin_product_rpc_contract.sql,mobile hook -> current public RPC,insert/update public.products.description,p_product_payload.description,no,unattested_pending_C2b,C3 prepared guard not installed; stable error mapping pending,apps/mobile-admin/hooks/product-save.test.ts,a04858072ce04f37af2269bb14bd4a936df612b6243fdb0099e8b417ba9c3ba4
1,apps/web/src/ai/flows/generate-product-descriptions.ts,add/edit form server action,generate only; persisted by add form,GenerateProductDescriptionInput -> text,no,unattested_pending_C2b,C3 prepared guard not installed; stable error mapping pending,apps/web/src/ai/flows/generate-product-descriptions.test.ts,2d75d5427336ed5db57afe4f174ec1db18e09ce5a36edfde08e23eed380d1fc7
1,apps/web/src/ai/flows/autofill-product-details.ts,add/edit form server action,generate only; persisted by add form,Autofill input -> details.description,no,unattested_pending_C2b,C3 prepared guard not installed; stable error mapping pending,apps/web/src/ai/flows/autofill-product-details.test.ts,c2e08bc974fd4e485c4ce75af674831204f3712d4a0351dfabc655911731f771
